,datasets,softwares,threads,sequences,CPU Usage,CPU Time,Memory Usage,Wall-clock Time
0,COVID19,DT@BIONJ-R,1,1000,84,1.52,45.22,1.88
1,COVID19,DT@BIONJ-R,32,1000,1336,11.5,42.624,0.87
2,COVID19,DT@BIONJ-R,1,2000,80,5.41,127.18,6.91
3,COVID19,DT@BIONJ-R,32,2000,1606,29.91,128.136,1.87
4,COVID19,DT@BIONJ-R,1,4000,82,29.01,437.408,36.05
5,COVID19,DT@BIONJ-R,32,4000,2042,104.22,504.336,5.24
6,COVID19,DT@BIONJ-R,1,8000,91,199.37,1745.548,219.41
7,COVID19,DT@BIONJ-R,32,8000,2757,966.26,1752.812,37.07
8,COVID19,DT@BIONJ-R,1,16000,98,2510.19,6486.036,2606.5
9,COVID19,DT@BIONJ-R,32,16000,2934,3314.49,6501.928,116.64
10,COVID19,DT@BIONJ-R,1,32000,99,5462.4,24968.044,5582.0
11,COVID19,DT@BIONJ-R,32,32000,2731,13501.16,24996.724,504.45
12,COVID19,DT@BIONJ-V,1,1000,83,1.42,45.128,1.86
13,COVID19,DT@BIONJ-V,32,1000,822,5.0,42.6,0.63
14,COVID19,DT@BIONJ-V,1,2000,81,4.19,105.476,5.3
15,COVID19,DT@BIONJ-V,32,2000,1536,29.49,104.564,1.92
16,COVID19,DT@BIONJ-V,1,4000,85,53.6,374.92,63.81
17,COVID19,DT@BIONJ-V,32,4000,1774,72.99,375.34,4.26
18,COVID19,DT@BIONJ-V,1,8000,93,515.17,1245.184,559.4
19,COVID19,DT@BIONJ-V,32,8000,2774,915.71,1245.912,34.19
20,COVID19,DT@BIONJ-V,1,16000,89,2089.88,4073.98,2382.03
21,COVID19,DT@BIONJ-V,32,16000,3007,4326.95,4487.052,145.29
22,COVID19,DT@BIONJ-V,1,32000,99,5371.32,16967.988,5480.0
23,COVID19,DT@BIONJ-V,32,32000,3090,17858.03,16969.116,594.99
24,COVID19,DT@NJ-R,1,1000,82,1.73,45.228,2.29
25,COVID19,DT@NJ-R,32,1000,1230,9.17,42.664,0.76
26,COVID19,DT@NJ-R,1,2000,80,8.2,111.484,10.52
27,COVID19,DT@NJ-R,32,2000,1698,33.92,113.968,2.01
28,COVID19,DT@NJ-R,1,4000,87,90.03,374.808,104.28999999999999
29,COVID19,DT@NJ-R,32,4000,2136,119.65,441.148,5.86
30,COVID19,DT@NJ-R,1,8000,90,142.35,1495.456,159.66
31,COVID19,DT@NJ-R,32,8000,2781,937.87,1502.836,34.88
32,COVID19,DT@NJ-R,1,16000,98,2110.01,5485.976,2179.84
33,COVID19,DT@NJ-R,32,16000,2850,2165.08,5502.076,81.44
34,COVID19,DT@NJ-R,1,32000,98,11732.96,20145.736,12222.0
35,COVID19,DT@NJ-R,32,32000,3008,11003.31,20994.48,373.49
36,COVID19,DT@NJ-V,1,1000,84,1.35,45.2,1.77
37,COVID19,DT@NJ-V,32,1000,858,6.06,42.66,0.71
38,COVID19,DT@NJ-V,1,2000,79,8.18,105.424,10.85
